pos
NNG NNG 
NNG NNG 
NNG VV ETM 
NNG NNP 
NNG NNP 
NNG NNG 
NNG NNB 
NR NNG NNG 
MM NNB XSN 
NNB NNP NNP 
NNG NNG NNP 
XPN NNG NNP 
NNG VV ETM 
VV ETM NNP 
VV ETM NNB 
NNG JX XSN 
EP NNG NNP 
NNG NNG NNG 
NNP NNB JX 
NNB XPN NNG 
NNG NNG VV 
NNG VCP EC 
NNG NNG NNP 
NNP NNG NNP 
NR NNG NNG 
XPN NNG NNG 
IC IC IC 
NNB VV ETM 
NNG VV EC 
NNG VCP EC 
NNG NNG NNB 
NNG VV ETN 
NNG NNG NNG 
NNG NNG NNG 
NNG XSN NNG 
NNG NNG NNG 
NNP NNG NNP 
NNG NNG NNG 
NNG NNP JX 
XR NNG JKS 
NNG NNP NNP 
NNP NNG NNB 
NNG NNG NNG 
VV EC JX 
NNP NNP NNG 
VV VV VV 
NNG MAG NNG 
NNP VCP EC 
NNG NNG NNB 
NNB NNP NNG 
NNG VCP EC 
NNP ETM NNB 
MM NNP NNP 
NNG NNP JKO 
NNG NNG NNG 
NNG NNG JKS 
NNG XR JKG 
NP NNG JX 
NNP ETM NNP 
VV ETM NNB 
NNG NNG VV 
VV ETM NNP 
NNP NNP NNP 
NNP ETM NNB 
NNG VV ETM 
MAG NNB JX 
VV VV EC 
NNP VCP EC 
NNG NNG JKS 
NNP NNB NNP 
VV ETM NNB 
EC VV EC 
VV EP NNG 
VA ETM NNB 
NNG NNP NP 
NNG NNG NNG 
NNG MAG NNB 
VV ETM NNP 
NNG XSV ETM 
VV ETM NNP 
NNG NNG NNG 
VV EC VV 
NNG NNB NNP 
NNP ETM NNP 
NNG NNP NNG 
NNP NNG XSN 
VV EC NNG 
MAG VV XSN 
VV EP EC 
NNG NNG MM 
MM NNP JX 
VV EP EC 
NNG NNG NNP 
NNG NNG NNG 
NNG NNB JKS 
NNG XSV EC 
NNP NNP NNP 
NNG NNP JKO 
NNG NNG NNG 
NNG NNG NNG 
NNG NNP NNP 
NNP NNP NNG 
NNG NNP NNP 
NNP JX EC 
VV EP EC 
NNG XSV EC 
NNG NNG NNG 
MM NNG MAG 
NNG XSN NNG 
NNG NNG NNG 
NNP NNG NNP 
IC MAG JKS 
IC MAG JX 
NNP VV EC 
NNG NNG MAG 
NNG NNG NNG 
NNG NNG NNG 
NNG MAG NNB 
NNB MAG NNG 
NNG NNP JX 
NNG NNG NNG 
MAG VV EC 
NNG NNG XSN 
NNG NNG NNB 
VA ETM NNG 
NNG NNP NNP 
XPN NNP NNG 
NNG NNG NNG 
NNG VCP EC 
NNG NNG MAG 
VV ETM NNP 
NNG NNB NNG 
NNG NNG NNG 
NNG JKB NNG 
NNG NNG NNG 
NNP NNP NNG 
VV EC NNB 
NNP NNP XSN 
NNG NNG NNP 
NNB VX EC 
MM NNP NNB 
NNG XSV ETM 
NNG NNG NNG 
NNG XSN JKS 
NNG NNP JKO 
NNP NNG MAG 
NNP NNG XSN 
NNG NNP NNG 
NNG NNG NNG 
JKO NNG EC 
NNG NNB XSN 
NNG NNP NNG 
NNP NNP XSN 
NNG VV EC 
XPN NNG NNG 
NNG NNG JKS 
NNG VV EC 
MAG MAG NNG 
NNG JKO NNG 
VV EP EC 
NNG NNG NNG 
NNG NNP NNG 
VV ETM NNP 
NNG NNG JX 
NNG VV EC 
NNG NNG NNB 
NNP NNG NNG 
XPN VV EP 
NP NNG NNG 
NNG NNP JX 
VV EP EC 
NR NNP NNP 
NNG NNP NNP 
VV ETM NNP 
NNP NNG XSN 
NNP ETM NNP 
NNP ETM NNP 
VV ETM NNP 
NNP JKB JX 
NNB NNP NP 
VV ETM EC 
MAG MAG JKS 
NNG NNG NNG 
VV ETM NNP 
NNP NNG MAG 
MAG NNB JKS 
NNG NNP JX 
NNP NNP JX 
NNG NNG NNB 
NNB MAG NNB 
NNG NNG MAG 
NNG NNP NNB 
NNG VV EC 
NNP NNP NNP 
MAG NNG NNG 
NNB NNB NNP 
VV ETM NNB 
NNP NNG NNG 
NNG NNG XSN 
NNG VV ETM 
VV ETM NNP 
NNG NNG JKS 
NNP NNP JX 
NNG NNG NNG 
VV ETM NNP 
NNG JKO NNG 
NNG NNG JKS 
NNG XSN NNG 
VV ETM NNP 
MM NNP NNP 
NR NNP NNG 
NNP NNB NNP 
NNG NNB JX 
VV ETM NNB 
VV VV EC 
VV ETM NNP 
NNP ETM NNP 
NNG NNB NNP 
NNG NNP NNP 
VV EC NNG 
NNP NNP NNB 
NNG NNG MAG 
NNP NNG XSN 
NNG VV ETN 
VV EC VV 
NNP XPN NNG 
NNG VV EC 
VV EC EC 
NNP NNP NNP 
NNG NNG NNG 
NNP ETM NNP 
NNG MAG XSN 
NNG NNG NNP 
NNG VA EC 
NNP NNB NNP 
VX ETM NNP 
NNG NNG NNG 
NNG NNP NNG 
NNG NNG NNP 
XR VV ETN 
NNG XSA EC 
NNP XPN NNG 
NNP NNP JX 
VV ETM NNB 
MAG NNG NNB 
NNG VV ETM 
NNB NNP JX 
NNP VCP ETM 
NNG NNG MAG 
VV EC NP 
NNG NNG NNP 
NNG VV ETM 
NNG NNG NNG 
NNG NNG VV 
MM NNG NNP 
VV ETM NNB 
MAG VV EC 
NNG NNG MAG 
NNG VCP EC 
NNG NNG XSN 
NNG NNG NNP 
NNP NNG JKS 
XPN NNP NNP 
NNP VV ETN 
NNB NNP JX 
NNG MAG MAG 
NNP NNG XSN 
NNG NNP NNG 
VV VV ETM 
NNG VCP ETN 
NNG VCP EC 
NNG MM NNP 
VV EC VV 
NNG MAG VV 
NNG NNP JX 
EF JX 
VV EC 
VV ETM NNB 
VV EF ETM NNP 
XR 
VV VV EC JX 
VV ETN NNG XSN 
VV ETM NNP VA EC 
VV ETM NNP JX VV 
EC NNG EC NNG 
XR 
VV EP EC 
XR NNG 
VV VV ETM 
VV ETM NNP NNB 
XR 
XR 
VV ETN VV ETM 
VX EF VX ETM 
IC IC 
VV EP ETM 
XPN NNG 
VV ETM NNP NNP 
XPN NNP JC NNP 
VV ETN NNG 
XPN NNP XSN 
VX EP NNG 
VV EC VX EC JC NNP 
MM NNB NNP NNB 
VV VV EC 
VA EC JX NNG VV 
VV EP EC 
VV ETN NNG VV ETN 
MAG VV 
XR NNG 
MAG MM NNG 
VV 
VV EP ETM 
VV EP EC 
VA ETM 
VV ETM NNP VCP ETN 
MAG NNG 
VV ETN MAG JKS 
MAG NNB 
VV EC VX ETM 
XPN NNP MM 
VV ETM NNP 
VV ETM NNP 
VV ETN VV ETM 
EC VX EC NNG 
VV VV VV ETM NNP 
VV ETM NNP 
VX EP EC 
MAG MAG 
VV ETM NNB 
VV ETN NNB NNP 
VV ETM NNB 
MAG VV EP EC 
XPN NNP 
VA ETM NNP 
VV EC VX ETN 
EC NNG 
MAG VV ETM 
VV ETM NNP 
VV ETM NNP 
VV ETM NNB 
VV ETM NNP 
VV EC 
VV EP NNG 
VV ETM NNP 
VV EC 
XR 
XR 
VV EC VCP EC 
MM NNG VV EC 
MAG NNG 
VX EC VV EC 
VV EC JX 
VV ETM NNG 
XPN NNP 
VV ETN VCP EC 
MM NNP 
VV ETN NNG 
IC IC 
VV ETM NNG NNP 
VV ETM NNP NNG 
VA EC JX EC NP 
VA EC VV ETM NNP 
VV ETM NNG 
MAG MAG NNG 
MAG JKO NNG 
XR 
XR 
VV ETM NNP 
XPN NNG 
VV 
VV EC 
VV EP EC 
VV EC VX EC 
VV VV EC 
VA ETM NNP 
VV EC NNB XSN 
XPN NNP NNP 
MM NNP 
VV EP NNG NNP 
VV EC VX EP 
VV EC 
MAG VV EC 
VV VV VV ETM NNP 
IC VCP EC VV ETM 
VV ETM NNP 
VV EP EC 
VA EC EC 
MAG MAG 
VV ETN NNG 
XPN NNP NNP 
VV EC VV ETN 
VV ETM NNP JC 
VV ETM NNB 
XPN NNP 
VV EC NNG NNG 
